publication_name;publication_issue;issue_year;issue_month
Ayd?nl?k Sosyalist Dergi;1;;
Ayd?nl?k Sosyalist Dergi;3;1969;January
Ayd?nl?k Sosyalist Dergi;4;1969;February
Ayd?nl?k Sosyalist Dergi;5;1969;March
Ayd?nl?k Sosyalist Dergi;6;1969;April
Ayd?nl?k Sosyalist Dergi;8;1969;June
Ayd?nl?k Sosyalist Dergi;10;1969;August
Ayd?nl?k Sosyalist Dergi;12;1969;October
Ayd?nl?k Sosyalist Dergi;14;1969;December
Ayd?nl?k Sosyalist Dergi;15;1970;January
Ayd?nl?k Sosyalist Dergi;17;1970;March
Ayd?nl?k Sosyalist Dergi;18;1970;April
Ayd?nl?k Sosyalist Dergi;19;1970;May
Ayd?nl?k Sosyalist Dergi;20;1970;June
Ayd?nl?k Sosyalist Dergi;21;1970;July
Ayd?nl?k Sosyalist Dergi;22;1970;August
Ayd?nl?k Sosyalist Dergi;23;1970;September
Ayd?nl?k Sosyalist Dergi;24;1970;October
Ayd?nl?k Sosyalist Dergi;29-30;1971;March-April
