publication_title	issue_year	issue_month	issue_number	issue_type
Aydınlık Sosyalist Dergi	1968	11	1	regular issue
Aydınlık Sosyalist Dergi	1969	8	10	regular issue
Aydınlık Sosyalist Dergi	1969	9	11	regular issue
Aydınlık Sosyalist Dergi	1969	10	12	regular issue
Aydınlık Sosyalist Dergi	1969	11	13	regular issue
Aydınlık Sosyalist Dergi	1969	12	14	regular issue
Aydınlık Sosyalist Dergi	1970	1	15	regular issue
Aydınlık Sosyalist Dergi	1970	2	16	regular issue
Aydınlık Sosyalist Dergi	1970	3	17	regular issue
Aydınlık Sosyalist Dergi	1970	4	18	regular issue
Aydınlık Sosyalist Dergi	1970	5	19	regular issue
Aydınlık Sosyalist Dergi	1968	12	2	regular issue
Aydınlık Sosyalist Dergi	1970	6	20	regular issue
Aydınlık Sosyalist Dergi	1970	7	21	regular issue
Aydınlık Sosyalist Dergi	1970	8	22	regular issue
Aydınlık Sosyalist Dergi	1970	9	23	regular issue
Aydınlık Sosyalist Dergi	1970	10	24	regular issue
Aydınlık Sosyalist Dergi	1970	11	25	regular issue
Aydınlık Sosyalist Dergi	1970	12	26	regular issue
Aydınlık Sosyalist Dergi	1971	1	27	regular issue
Aydınlık Sosyalist Dergi	1971	2	28	regular issue
Aydınlık Sosyalist Dergi	1971	3-4	29, 30	regular issue
Aydınlık Sosyalist Dergi	1969	1	3	regular issue
Aydınlık Sosyalist Dergi	1969	2	4	regular issue
Aydınlık Sosyalist Dergi	1969	3	5	regular issue
Aydınlık Sosyalist Dergi	1969	4	6	regular issue
Aydınlık Sosyalist Dergi	1969	5	7	regular issue
Aydınlık Sosyalist Dergi	1969	6	8	regular issue
Aydınlık Sosyalist Dergi	1969	7	9	regular issue
Aylık Ant Dergisi	1970	5	1	regular issue
Aylık Ant Dergisi	1971	2	10	regular issue
Aylık Ant Dergisi	1971	3	11	regular issue
Aylık Ant Dergisi	1971	4	12	regular issue
Aylık Ant Dergisi	1971	5	13	regular issue
Aylık Ant Dergisi	1970	6	2	regular issue
Aylık Ant Dergisi	1970	7	3	regular issue
Aylık Ant Dergisi	1970	8	4	regular issue
Aylık Ant Dergisi	1970	9	5	regular issue
Aylık Ant Dergisi	1970	10	6	regular issue
Aylık Ant Dergisi	1970	11	7	regular issue
Aylık Ant Dergisi	1970	12	8	regular issue
Aylık Ant Dergisi	1971	1	9	regular issue
Haftalık Ant Dergisi	1967	1	1	regular issue
Haftalık Ant Dergisi	1967	1	1	special issue
Haftalık Ant Dergisi	1967	3	10	regular issue
Haftalık Ant Dergisi	1968	11	100	regular issue
Haftalık Ant Dergisi	1968	12	101	regular issue
Haftalık Ant Dergisi	1968	12	102	regular issue
Haftalık Ant Dergisi	1968	12	103	regular issue
Haftalık Ant Dergisi	1968	12	104	regular issue
Haftalık Ant Dergisi	1968	12	105	regular issue
Haftalık Ant Dergisi	1969	1	106	regular issue
Haftalık Ant Dergisi	1969	1	107	regular issue
Haftalık Ant Dergisi	1969	1	108	regular issue
Haftalık Ant Dergisi	1969	1	109	regular issue
Haftalık Ant Dergisi	1967	3	11	regular issue
Haftalık Ant Dergisi	1969	2	110	regular issue
Haftalık Ant Dergisi	1969	2	111	regular issue
Haftalık Ant Dergisi	1969	2	112	regular issue
Haftalık Ant Dergisi	1969	2	113	regular issue
Haftalık Ant Dergisi	1969	3	114	regular issue
Haftalık Ant Dergisi	1969	3	115	regular issue
Haftalık Ant Dergisi	1969	3	116	regular issue
Haftalık Ant Dergisi	1969	3	117	regular issue
