publication_title,issue_year,issue_month,article_count
Aydınlık Sosyalist Dergi,1968,11,1
Aydınlık Sosyalist Dergi,1969,1,2
Aydınlık Sosyalist Dergi,1969,2,1
Aydınlık Sosyalist Dergi,1969,4,1
Aydınlık Sosyalist Dergi,1970,10,1
Aydınlık Sosyalist Dergi,1970,3,1
Aydınlık Sosyalist Dergi,1970,5,1
Aylık Ant Dergisi,1970,6,2
Aylık Ant Dergisi,1971,5,1
DİSK Gazetesi (2),1970,10,1
Haftalık Ant Dergisi,1970,1,1
Haftalık Ant Dergisi,1970,2,3
Haftalık Ant Dergisi,1970,4,1
Kurtuluş Yolu,1968,12,3
Kurtuluş Yolu,1969,1,1
Kurtuluş Yolu,1970,6,1
Proleter Devrimci Aydınlık,1970,10,3
Proleter Devrimci Aydınlık,1970,3,1
Proleter Devrimci Aydınlık,1970,9,1
Türk Solu,1969,6,4
Türk Solu,1969,7,4
