issue_date,Aydınlık Sosyalist Dergi,Aylık Ant Dergisi,DİSK Gazetesi (2),Haftalık Ant Dergisi,Kurtuluş,Kurtuluş Yolu,Proleter Devrimci Aydınlık,Türk Solu,
1968-01,0,0,0,0,0,0,0,0,0
1968-02,0,0,0,0,0,0,0,0,0
1968-03,0,0,0,0,0,0,0,0,0
1968-04,0,0,0,0,0,0,0,0,0
1968-05,0,0,0,0,0,0,0,0,0
1968-06,0,0,0,0,0,0,0,0,0
1968-07,0,0,0,0,0,0,0,0,0
1968-08,0,0,0,0,0,0,0,0,0
1968-09,0,0,0,0,0,0,0,0,0
1968-10,0,0,0,0,0,0,0,0,0
1968-11,1,0,0,0,0,0,0,0,0
1968-12,0,0,0,0,0,3,0,0,0
1969-01,2,0,0,0,0,1,0,0,0
1969-02,1,0,0,0,0,0,0,0,0
1969-03,0,0,0,0,0,0,0,0,0
1969-04,1,0,0,0,0,0,0,0,0
1969-05,0,0,0,0,0,0,0,0,0
1969-06,0,0,0,1,0,0,0,4,0
1969-07,0,0,0,0,0,0,0,4,0
1969-08,0,0,0,1,0,0,0,0,0
1969-09,0,0,0,0,0,0,0,1,0
1969-10,0,0,0,0,0,0,0,0,0
1969-11,0,0,0,0,0,0,0,0,0
1969-12,0,0,0,0,0,0,0,0,0
1970-01,0,0,0,1,0,0,0,0,0
1970-02,0,0,0,5,0,0,0,0,0
1970-03,1,0,0,0,0,0,1,0,0
1970-04,0,0,0,1,0,0,0,1,0
1970-05,1,0,0,0,0,0,0,0,0
1970-06,0,2,0,0,0,1,0,0,0
1970-07,0,0,0,0,0,0,0,0,0
1970-08,0,0,0,0,1,0,0,0,0
1970-09,0,0,0,0,0,0,1,0,0
1970-10,1,1,1,0,2,0,3,0,0
1970-11,0,0,0,0,0,0,0,0,0
1970-12,0,0,0,0,0,0,0,0,0
1971-01,0,0,0,0,0,0,0,0,0
1971-02,0,0,0,0,0,0,0,0,0
1971-03,0,0,0,0,0,0,0,0,0
1971-04,0,0,0,0,0,0,0,0,0
1971-05,0,1,0,0,0,0,0,0,0
1971-06,0,0,0,0,0,0,0,0,0
1971-07,0,0,0,0,0,0,0,0,0
1971-08,0,0,0,0,0,0,0,0,0
1971-09,0,0,0,0,0,0,0,0,0
1971-10,0,0,0,0,0,0,0,0,0
1971-11,0,0,0,0,0,0,0,0,0
1971-12,0,0,0,0,0,0,0,0,0
